saturation,frequency
67.2,55470
36.0,83473
37.2,55591
38.4,27629
40.8,55278
42.0,55433
43.2,55727
76.8,27667
46.8,55806
48.0,82866
50.4,55803
52.8,55679
30.0,55562
24.0,27883
57.599999999999994,83074
56.4,55493
62.4,55760
31.2,55806
